account,cluster
f030649,0.25
f01437863,0.25
f023983,0.25
f015747,0.25
f01690871,0.25
f01812283,0.25
f0728347,0.25
f0115238,0.2528846153846154
f034777,0.2542372881355932
f02388,0.2563559322033898
f0117318,0.25777202072538863
f01096727,0.26036866359447003
f02072747,0.2607913669064748
f01136409,0.2669172932330827
f0835643,0.28023598820059
f024146,0.28284671532846717
f01399784,0.2918918918918919
f01501611,0.30906389301634474
f024148,0.3284313725490196
f029416,0.3316062176165803
f023858,0.3381336405529954
f02184150,0.3434343434343434
f023928,0.37134831460674156
f02387,0.37962962962962965
f054526,0.40975103734439833
f023869,0.41786447638603696
f024511,0.4925531914893617
f0471691,0.5454091816367266
f022853,0.6039215686274509
f0116445,0.9805352798053528
