account,cluster
f0117318,0.0038860103626943004
f023983,0.00625
f02387,0.007407407407407408
f024146,0.009732360097323601
f0115238,0.010576923076923078
f01437863,0.011111111111111112
f01096727,0.013824884792626729
f024148,0.015318627450980392
f030649,0.015432098765432098
f023928,0.017977528089887642
f023858,0.019585253456221197
f01501611,0.022288261515601784
f023869,0.023100616016427104
f015747,0.04143646408839779
f02388,0.04449152542372881
f02072747,0.06294964028776978
f034777,0.0692090395480226
f01136409,0.07706766917293233
f01812283,0.08333333333333333
f0116445,0.09245742092457421
f054526,0.12240663900414937
f029416,0.12694300518134716
f02184150,0.13636363636363635
f0471691,0.1437125748502994
f0728347,0.1590909090909091
f0835643,0.1707227138643068
f024511,0.2393617021276596
f022853,0.2607843137254902
f01399784,0.2635135135135135
f01690871,1.0
