account,cluster
f01096727,0.0
f023869,0.0
f024511,0.0
f022853,0.0
f01812283,0.0
f02388,0.0
f015747,0.0
f01690871,0.0
f01437863,0.0
f01399784,0.0
f0117318,0.0
f034777,0.0
f030649,0.0
f023983,0.0
f0471691,0.000499001996007984
f054526,0.001037344398340249
f02184150,0.0012626262626262627
f029416,0.0012953367875647669
f02387,0.0014814814814814814
f023858,0.0017281105990783411
f024146,0.0018248175182481751
f024148,0.001838235294117647
f023928,0.0028089887640449437
f0115238,0.0028846153846153848
f0116445,0.0036496350364963502
f01501611,0.003714710252600297
f02072747,0.00539568345323741
f01136409,0.005639097744360902
f0835643,0.010693215339233038
f0728347,0.11616161616161616
