date,account,address,type,id,name,overEstimationBurn,refundDecimal,refund,amountDecimal,burnedDecimal,signature,signedHash,success,minerPenalty,minerTip,exitCode,gas,baseFeeBurn
2022-01-14,f01690871,f1mehp56ehavkv5z5o5le2m2p4maihs4wvaueqgca,fil/6/account,0,Transfer,1.7115911198466e-05,0.0297838875591901,0.0297838875591901,8.5,0.0002149793141322,,,True,0.0,1.13312902559e-06,0,2107818,0.0001978634029337
2022-01-23,f01690871,f1mehp56ehavkv5z5o5le2m2p4maihs4wvaueqgca,fil/6/account,0,Transfer,1.8299e-12,6.050803e-10,6.050803e-10,3.0,5.06267e-11,,,True,0.0,6.12186354e-08,0,487968,4.87968e-11
2023-06-07,f02184150,f02184150,unknown,7,,0.0026577447367396,0.6632163754365297,0.6632163754365297,2.849630642747744,0.0453471316578414,,,True,0.0,0.0067484779056288,0,109642303,0.0426893869211018
2023-06-07,f02184150,f02184150,unknown,6,,0.0006382061886277,0.4553171815067125,0.4553171815067126,0.1881880091340698,0.0330403305031166,,,True,0.0,0.0046127679901707,0,82242160,0.0324021243144888
2023-06-07,f02184150,f02184150,unknown,5,,7.5242207046944e-05,0.257704778245624,0.257704778245624,0.0,0.0038433666175429,,,True,0.0,0.002332455136833,0,43984000,0.003768124410496
2023-06-08,f02184150,f02184150,unknown,5,,0.0001331191860997,0.1142344138211548,0.1142344138211548,0.0,0.0068121174160489,,,True,0.0,0.0010240237627962,0,20348993,0.0066789982299491
2023-06-09,f02184150,f02184150,unknown,5,,0.0001799735262751,0.1117309712474044,0.1117309712474044,0.0,0.0092097978412203,,,True,0.0,0.0011297859113752,0,20348993,0.0090298243149452
2023-06-11,f02184150,f02184150,unknown,5,,0.0004624894104678,0.9677388181297664,0.9677388181297664,0.0,0.0235967063343583,,,True,0.0,0.009020730535875,0,166729943,0.0231342169238904
2023-06-11,f02184150,f02184150,unknown,7,,0.0001012760575777,0.3287194463028546,0.3287194463028546,2.175835227981124,0.0127734461785917,,,True,0.0,0.0031278475185536,0,59807639,0.0126721701210139
2023-06-11,f02184150,f02184150,unknown,11,,0.0001241313622971,0.0971786978277363,0.0971786978277363,0.0,0.0063894656586305,,,True,0.0,0.0009444315136331,0,17427866,0.0062653342963333
2023-06-12,f02184150,f02184150,unknown,5,,0.0002486845263205,0.1080169995443662,0.1080169995443662,0.0,0.0127836080690715,,,True,0.0,0.0012833723865622,0,20356430,0.0125349235427509
2023-06-13,f02184150,f02184150,unknown,5,,0.0005742268598773,0.2335358470816067,0.2335358470816066,0.0,0.0293310927045324,,,True,0.0,0.0031559152138608,0,44341043,0.028756865844655
2023-06-13,f02184150,f02184150,unknown,6,,0.0026117117028985,0.7295211167947923,0.7295211167947925,0.4322624247690715,0.1336918879874408,,,True,0.0,0.0100406502177667,0,145571949,0.1310801762845423
