account,cluster
f0117318,0.0038860103626943004
f023983,0.00625
f01437863,0.009259259259259259
f0115238,0.009615384615384616
f01096727,0.013824884792626729
f024146,0.013990267639902677
f030649,0.015432098765432098
f024148,0.02389705882352941
f01501611,0.031575037147102525
f023928,0.03651685393258427
f023858,0.03859447004608295
f015747,0.04143646408839779
f02388,0.04449152542372881
f02072747,0.06654676258992806
f01812283,0.06944444444444445
f01136409,0.07236842105263158
f034777,0.07344632768361582
f02387,0.09407407407407407
f023869,0.09548254620123203
f0728347,0.10858585858585859
f02184150,0.12373737373737374
f0835643,0.1570796460176991
f029416,0.17616580310880828
f054526,0.17738589211618258
f01399784,0.21891891891891893
f024511,0.33617021276595743
f0471691,0.3962075848303393
f022853,0.4803921568627451
f01690871,0.75
f0116445,0.8102189781021898
