account,cluster
f030649,0.0
f01437863,0.0
f015747,0.0
f01690871,0.0
f01812283,0.0
f023983,0.0
f0728347,0.0
f0117318,0.0006476683937823834
f0115238,0.0009615384615384616
f034777,0.0014124293785310734
f02072747,0.0017985611510791368
f02388,0.00211864406779661
f01096727,0.0034562211981566822
f01136409,0.004699248120300752
f024146,0.00851581508515815
f0835643,0.015486725663716814
f01399784,0.016216216216216217
f01501611,0.018202080237741457
f023858,0.019585253456221197
f024148,0.02144607843137255
f023928,0.0348314606741573
f029416,0.0391839378238342
f02387,0.04185185185185185
f054526,0.04771784232365145
f02184150,0.04924242424242424
f023869,0.054414784394250515
f024511,0.07872340425531915
f022853,0.12450980392156863
f0471691,0.13223552894211577
f0116445,0.25121654501216545
